gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,Churn,HasInternet,InternetService_DSL,InternetService_Fiber_optic,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,0,-1.2802480369298874,0,0,0,1,0,0,0,0,0,1,-1.1616939352451685,0,1,1,0,0,1,0
1,0,0,0,0.0643026851883519,1,0,1,0,1,0,0,0,1,0,-0.2608779199297493,0,1,1,0,0,0,1
1,0,0,0,-1.2395040756535771,1,0,1,1,0,0,0,0,0,1,-0.3639232943754246,1,1,1,0,0,0,1
1,0,0,0,0.512486259227765,0,0,1,0,1,1,0,0,1,0,-0.747850415293989,0,1,1,0,0,0,0
0,0,0,0,-1.2395040756535771,1,0,0,0,0,0,0,0,0,1,0.1961781764018748,1,1,0,1,0,1,0
0,0,0,0,-0.9950403079957154,1,1,0,0,1,0,1,1,0,1,1.1584890119510036,1,1,0,1,0,1,0
1,0,0,1,-0.4246248501273714,1,1,0,1,0,0,1,0,0,1,0.8078023344020117,0,1,0,1,1,0,0
0,0,0,0,-0.9135523854430948,0,0,1,0,0,0,0,0,0,0,-1.1650179795821258,0,1,1,0,0,0,1
0,0,1,0,-0.1801610824695097,1,1,0,0,1,1,1,1,0,1,1.3296772953043026,1,1,0,1,0,1,0
1,0,0,1,1.2051336009250395,1,0,1,1,0,0,0,0,1,0,-0.2874702746254075,0,1,1,0,0,0,0
1,0,1,1,-0.791320501614164,1,0,1,0,0,0,0,0,0,1,-0.4935610235167579,0,1,1,0,0,0,1
1,0,0,0,-0.6690886177852331,1,0,0,0,0,0,0,0,2,0,-1.5240147679735103,0,0,0,0,1,0,0
1,0,1,0,1.0421577558197987,1,1,0,0,1,0,1,1,1,0,1.181757322309704,0,1,0,1,1,0,0
1,0,0,0,0.6754621043330061,1,1,0,1,1,0,1,1,0,1,1.2931128075977727,1,1,0,1,0,0,0
1,0,0,0,-0.3023929662984406,1,0,1,0,1,1,1,1,0,1,1.3529456056630036,0,1,0,1,0,1,0
0,0,1,1,1.490341329859212,1,1,1,1,1,1,1,1,2,0,1.6105590417771916,0,1,0,1,1,0,0
0,0,0,0,0.797693988161937,1,0,0,0,0,0,0,0,1,0,-1.4675060142452372,0,0,0,0,0,0,1
1,0,0,1,1.5718292524118322,1,1,1,0,1,0,1,1,2,0,1.3928341377064908,0,1,0,1,0,0,0
0,0,1,1,-0.9135523854430948,1,0,0,0,1,1,0,0,0,0,-0.3190486958265014,1,1,1,0,1,0,0
0,0,0,0,-0.4653688114036817,1,0,0,1,1,0,0,1,0,1,0.8393807556031058,0,1,0,1,0,1,0
1,1,0,0,-1.2802480369298874,0,0,0,0,1,0,0,1,0,1,-0.8359375902233565,1,1,1,0,0,1,0
1,0,1,0,-0.8320644628904743,1,0,0,0,0,0,0,0,1,0,-1.495760391109374,0,0,0,0,0,0,0
1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,-1.4841262359300234,1,0,0,0,0,0,1
0,0,1,0,1.0421577558197987,1,1,0,1,0,1,0,0,2,1,-0.16281861198951,0,1,1,0,1,0,0
1,0,1,1,0.6754621043330061,1,0,1,1,0,1,0,0,0,0,-0.1727907450003817,0,1,1,0,1,0,0
0,0,0,0,-0.0986731599168891,1,0,1,1,0,0,0,0,0,1,-0.3157246514895444,0,1,1,0,0,0,0
1,0,1,1,0.5939741817803856,1,1,0,1,0,0,1,1,0,1,1.1485168789401314,1,1,0,1,0,1,0
1,0,1,1,-1.2802480369298874,0,0,0,1,0,0,0,0,0,0,-1.150059780065818,1,1,1,0,0,1,0
1,0,1,0,1.6125732136881423,1,1,1,1,1,1,1,1,2,1,0.8460288442770204,0,1,1,0,1,0,0
0,0,0,1,-0.6283446565089229,1,0,0,0,0,0,1,1,0,1,-0.0032644838155611,1,1,1,0,0,0,1
0,1,1,0,1.5718292524118322,1,1,1,1,1,1,0,0,2,1,1.0487955488314131,0,1,0,1,1,0,0
1,1,1,0,-1.2395040756535771,1,0,0,0,1,0,1,1,0,1,1.0205411719672768,0,1,0,1,1,0,0
0,0,1,1,-0.22090504374582,1,0,1,1,1,1,0,0,1,0,0.0449341590703193,0,1,1,0,0,0,1
1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,-1.4824642137615447,0,0,0,0,0,0,0
1,1,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,-0.6497911073537496,0,1,1,0,0,0,0
0,0,1,1,1.6125732136881423,1,1,1,1,0,1,1,0,2,0,1.1667991227933967,0,1,0,1,0,0,0
1,0,0,0,-1.1172721918246462,1,0,0,0,0,0,0,0,0,1,0.1629377330323022,1,1,0,1,0,1,0
0,0,0,0,0.5532302205040753,1,0,0,0,1,0,0,0,0,1,0.3324639942171226,0,1,0,1,1,0,0
1,0,0,0,0.0643026851883519,1,1,0,1,1,0,1,1,0,1,1.3811999825271402,1,1,0,1,0,1,0
0,0,0,0,-0.8728084241667845,1,1,0,0,1,0,1,1,0,1,1.0986562138857725,1,1,0,1,0,0,0
1,0,1,1,-0.9135523854430948,1,0,0,1,0,0,0,0,1,0,-0.5068572008645872,0,1,1,0,0,0,1
0,0,1,1,1.5310852911355222,1,1,1,1,0,0,1,0,2,1,0.1463175113475158,0,1,1,0,1,0,0
0,0,1,1,-0.6283446565089229,1,0,0,0,0,0,0,0,1,0,-1.46418196990828,0,0,0,0,0,0,1
0,0,0,0,1.24587756220135,1,1,1,1,1,1,1,0,2,1,0.5003282332334644,0,1,1,0,1,0,0
0,0,1,0,-0.791320501614164,1,1,1,1,0,1,1,0,0,1,0.3790006149345245,0,1,1,0,0,1,0
0,0,0,0,0.6754621043330061,1,1,0,0,0,0,0,1,0,1,0.6548962949019775,0,1,0,1,0,1,0
1,0,0,0,-1.2395040756535771,1,0,0,1,0,0,0,0,0,0,-0.5168293338754589,0,1,1,0,0,0,1
0,0,0,0,-1.2395040756535771,1,0,0,0,0,0,1,0,0,1,0.526920587929123,1,1,0,1,0,1,0
1,0,0,0,0.797693988161937,1,1,1,0,0,1,1,1,2,1,0.4970041888965074,0,1,1,0,1,0,0
0,0,1,1,1.490341329859212,1,1,1,0,1,1,0,0,2,1,-0.0215467276688259,0,1,1,0,1,0,0
0,1,0,0,0.4309983366751445,1,1,0,1,0,0,1,0,0,1,0.8460288442770204,0,1,0,1,0,1,0
0,0,0,0,-0.7098325790615434,1,0,1,1,0,0,1,1,0,1,1.1402067680977384,1,1,0,1,1,0,0
0,1,1,0,-0.3023929662984406,1,1,1,0,0,1,1,0,0,1,0.1562896443583875,0,1,1,0,1,0,0
0,1,1,0,-0.9950403079957154,1,1,0,1,0,0,0,0,0,1,0.526920587929123,1,1,0,1,1,0,0
0,1,1,1,1.1236456783724194,1,0,1,1,1,1,0,1,1,1,0.3341260163856011,0,1,1,0,1,0,0
1,1,0,0,-0.5876006952326126,1,1,0,0,0,0,1,1,0,1,1.0188791497987983,1,1,0,1,0,1,0
0,0,1,1,1.24587756220135,1,1,1,0,0,0,1,1,1,1,1.1584890119510036,0,1,0,1,1,0,0
1,1,1,1,1.368109446030281,1,1,0,1,1,1,1,1,1,1,1.451004913603243,0,1,0,1,0,1,0
